Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Turks and Caicos Islands,TCA,0,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Tuvalu,TUV,0,5.24164,24.1,27.3,31,35.2,..,..,75.4424,82.2681,81.1913,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uganda,UGA,0,0.163714,5.4,5.8,5.9,5.9,6,6.017815092,7.4,10,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ukraine,UKR,0,0.716184,46.236,48.8846,53.001,58.8895,62.5532,70.1248,75.0379,79.2183,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,United Arab Emirates,ARE,0,23.6253,90.4,90.5,90.6,94.8199,98.45,99.15,100,100,100,100
Individuals using the Internet (% of population),IT.NET.USER.ZS,United Kingdom,GBR,0.087355319,26.8218,91.6133,92.0003,94.7758,90.4246,90.692,92.5166,94.8182,95.2591,95.3412,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,United States,USA,0.784728502,43.0792,73,74.5542,85.5444,87.2749,88.4989,89.4303,96.5768,96.7792,97.1299,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uruguay,URY,0,10.5391,61.4625,64.5708,66.4,70.3224,80.7268,83.3515,85.471,87.6444,89.873,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uzbekistan,UZB,0,0.484347,35.5,42.8,46.7913,48.7,55.2,70.4,71.1,76.5904,83.9,89.0136
Individuals using the Internet (% of population),IT.NET.USER.ZS,Vanuatu,VUT,0,2.10834,18.8,22.3514,24,30.8,39.5,50.7305,64.286,68.612,69.8888,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Venezuela, RB",VEN,0,3.3596,57,58,60,61.6,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Viet Nam,VNM,0,0.254248,41,45,53,58.14,69.8479,68.6616,70.3,74.21,78.59,78.08
Individuals using the Internet (% of population),IT.NET.USER.ZS,Virgin Islands (U.S.),VIR,0,13.8151,50.07,54.8391,59.6083,64.3775,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,West Bank and Gaza,PSE,0,1.11131,53.6652,56.7,59.9,63.3,64.4,70.6226,76.01,81.83,88.6469,86.6377
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Yemen, Rep.",YEM,0,0.0825004,22.55,24.0854,24.5792,26.7184,..,..,13.8152,14.8881,17.6948,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Zambia,ZMB,0,0.191072,6.5,8.8,10.3,12.2,14.3,18.7,24.4992,26.9505,31.2342,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Zimbabwe,ZWE,0,0.401434,16.3647,22.7428,23.12,24.4,25,26.5883,29.2986,32.4616,32.5615,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Africa Eastern and Southern,AFE,0,0.770554311763481,12.1,14.3,15.7,17.4,19.8,22.8,26,29.5,31.4,34.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Africa Western and Central,AFW,0,0.139392839690942,14.9,17.2,19.9,23.2,25.7,28.9,32.4,34.3,36.9,39.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Arab World,ARB,0,1.19958727732213,37.0277926842634,40.9823815703012,41.0700134985783,48.1918379605552,52.5173038249928,60.0783092421506,60.2643027640711,64.1684287501043,67.356409919213,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Caribbean small states,CSS,0,3.67502376160412,48.7937258665927,50.9066892602657,52.9680812216019,56.3768430124934,60.753343113139,67.6098907600119,73.6102338432317,77.5169733304217,80.7464283054314,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central Europe and the Baltics,CEB,0,7.0557819225411,66.4796356902033,67.3454385402587,71.3446131436314,73.4143372864907,75.9771731956755,78.7307517785791,81.7881390646358,84.7177999803478,86.2327250683861,87.2227451727541
